filename, literals, clauses, width
mp1-klieber2017s-1200-023-eq.cnf, 6913, 20671, 3
g2-T112.1.0.cnf, 2630373, 9498011, 111
mp1-rubikcube601.cnf, 3066, 62609, 111
g2-gss-30-s100.cnf, 32309, 97275, 111
g2-mizh-md5-47-5.cnf, 65604, 273520, 111
mp1-blockpuzzle_5x10_s2_free5.cnf, 2850, 303100, 111
mp1-rubikcube120.cnf, 2778, 56303, 111
mp1-tri_ali_s11_c35_bail_UNS.cnf, 400, 1737, 111
g2-ak128astepbg2msaig.cnf, 422649, 1265652, 111
mp1-24.6.cnf, 4448, 138764, 111
mp1-blockpuzzle_9x9_s8_free7.cnf, 7290, 1241973, 111
mp1-klieber2017s-0490-023-t12.cnf, 30833, 92441, 111
g2-T122.1.0.cnf, 2651128, 9567747, 111
mp1-Nb5T16.cnf, 6829, 27000, 111
mp1-blockpuzzle_5x10_s5_free3.cnf, 2750, 287100, 111
mp1-rubikcube301.cnf, 2730, 56093, 111
g2-ak128modasbg1sbisc.cnf, 343799, 1128030, 257
g2-ak128boothbg2msisc.cnf, 377084, 1227753, 257
g2-hwmcc15deep-bobpcihm-k32.cnf, 204319, 566667, 257
mp1-rubikcube031.cnf, 3138, 62860, 257
mp1-ps_5000_21250_3_0_0.8_0_1.60_2.cnf, 5000, 21250, 257
g2-modgen-n200-m90860q08c40-16823.cnf, 2200, 9086, 257
mp1-blockpuzzle_5x10_s3_free4.cnf, 2750, 287000, 257
mp1-klieber2017s-1200-024-eq.cnf, 7476, 22357, 257
mp1-ps_5000_21250_3_0_0.7_0_1.50_0.cnf, 5000, 21250, 257
g2-T110.2.1.cnf, 6087758, 21441900, 257
mp1-ps_5000_21250_3_0_0.6_0_1.45_8.cnf, 5000, 21250, 257
mp1-blockpuzzle_9x9_s1_free8.cnf, 7290, 1241811, 257
g2-T99.2.1.cnf, 6269521, 21859028, 406
g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf, 245249, 1089831, 406
mp1-21.7.cnf, 3968, 119208, 406
g2-UR-20-5p1.cnf, 224962, 1204358, 406
mp1-9_27.cnf, 1458, 280140, 406
mp1-ps_5000_21250_3_0_0.7_0_1.50_8.cnf, 5000, 21250, 406
g2-hwmcc15deep-bobpcihm-k31.cnf, 194793, 540136, 406
g2-T88.2.1.cnf, 3372289, 11667491, 406
g2-ACG-20-10p1.cnf, 381708, 1632906, 406
mp1-tri_ali_s11_c35_sinx_UNS.cnf, 1151, 3535, 406
mp1-klieber2017s-1600-024-eq.cnf, 9293, 27808, 406
mp1-klieber2017s-0300-032-t12.cnf, 19491, 58388, 406
mp1-9_25.cnf, 1458, 280136, 406
mp1-qpr-bmp280-driver-14.cnf, 23325, 95362, 406
mp1-9_50.cnf, 1458, 280136, 406
g2-gss-40-s100.cnf, 32814, 98815, 406
g2-ak128modasmodasisc.cnf, 325625, 1040620, 406
mp1-squ_any_s09x07_c27_bail_UNS.cnf, 368, 1594, 406
mp1-23.1.cnf, 4288, 132672, 406
mp1-Nb6T06.cnf, 3702, 15840, 406
g2-hwmcc15deep-bobpcihm-k33.cnf, 213845, 593198, 406
mp1-klieber2017s-0300-034-t12.cnf, 19743, 59138, 406
mp1-klieber2017s-0300-035-t12.cnf, 19814, 59348, 406
mp1-squ_ali_s10x10_c39_abix_SAT.cnf, 1672, 5262, 406
g2-newton.8.3.i.smt2-cvc4.cnf, 302735, 1309690, 406
mp1-ps_5000_21250_3_0_0.7_0_1.45_4.cnf, 5000, 21250, 406
mp1-Nb7T08.cnf, 8497, 35672, 406
g2-hwmcc15deep-bobpcihm-k30.cnf, 185267, 513605, 406
mp1-rubikcube612.cnf, 3426, 69294, 406
mp1-ps_5000_21250_3_0_0.8_0_1.55_8.cnf, 5000, 21250, 406
g2-test_v7_r7_vr5_c1_s14675.smt2-cvc4.cnf, 244193, 1082414, 406
g2-hwmcc15deep-bob12s02-k16.cnf, 203492, 602145, 406
g2-T97.2.1.cnf, 4038010, 14110352, 406
mp1-23.6.cnf, 4288, 132672, 406
g2-hwmcc15deep-6s33-k33.cnf, 24125, 70154, 406
mp1-bsat210-739.cnf, 210, 739, 406
mp1-23.7.cnf, 4288, 132672, 406
g2-hwmcc15deep-6s161-k17.cnf, 44195, 128349, 406
g2-hwmcc15deep-oski15a14b30s-k24.cnf, 683370, 1773257, 406
mp1-24.1.cnf, 4448, 138764, 406
g2-hwmcc15deep-6s399b03-k02.cnf, 7191, 21428, 406
mp1-ps_5000_21250_3_0_0.8_0_1.50_2.cnf, 5000, 21250, 406
g2-hwmcc15deep-beemloyd3b1-k31.cnf, 122450, 327831, 406
g2-hwmcc15deep-intel065-k11.cnf, 156426, 376988, 406
g2-mizh-md5-48-2.cnf, 66892, 279240, 406
g2-hwmcc15deep-6s516r-k17.cnf, 47761, 135422, 406
g2-slp-synthesis-aes-top30.cnf, 101451, 323566, 3667
mp1-23.4.cnf, 4288, 132672, 3667
mp1-blockpuzzle_7x10_s10_free4.cnf, 5180, 742770, 3667
mp1-ps_5000_21250_3_0_0.8_0_1.60_4.cnf, 5000, 21250, 3667
mp1-21.3.cnf, 3968, 119208, 3667
mp1-klieber2017s-1600-022-eq.cnf, 9383, 28084, 3667
g2-Sz512_15128_1.smt2-cvc4.cnf, 10478, 33986, 3667
mp1-Nb5T15.cnf, 6360, 25200, 3667
g2-T83.2.1.cnf, 3421205, 11829226, 3667
mp1-Nb7T42.cnf, 52731, 208936, 3667
g2-modgen-n200-m90860q08c40-29667.cnf, 2200, 9086, 3667
mp1-9_34.cnf, 1458, 280140, 3667
g2-slp-synthesis-aes-top28.cnf, 88763, 282870, 3667
mp1-rubikcube701.cnf, 3066, 62609, 3667
mp1-ps_5000_21250_3_0_0.7_0_1.45_6.cnf, 5000, 21250, 3667
g2-hwmcc15deep-6s516r-k18.cnf, 51996, 147556, 3667
mp1-rubikcube312.cnf, 3090, 62778, 3667
g2-gss-36-s100.cnf, 32642, 98287, 3667
mp1-blockpuzzle_9x9_s1_free10.cnf, 7452, 1284093, 3667
g2-ak128boothbg2asisc.cnf, 344320, 1129588, 3667
mp1-ps_5000_21250_3_0_0.8_0_1.70_2.cnf, 5000, 21250, 3667
g2-hwmcc15deep-beemhanoi4b1-k32.cnf, 392428, 921945, 3667
mp1-24.4.cnf, 4448, 138764, 3667
g2-hwmcc15deep-oski15a10b06s-k24.cnf, 631770, 1651217, 3667
g2-slp-synthesis-aes-top24.cnf, 65983, 209942, 3667
g2-T103.2.1.cnf, 2943830, 10335595, 3667
g2-T104.1.0.cnf, 7339147, 25976627, 3667
g2-modgen-n200-m90860q08c40-6967.cnf, 2200, 9086, 3667
mp1-ps_5000_21250_3_0_0.8_0_1.70_8.cnf, 5000, 21250, 3667
mp1-Nb6T27.cnf, 20817, 82368, 3667
g2-ak128paralparalisc.cnf, 265303, 859948, 3667
g2-T81.2.1.cnf, 3413200, 11803643, 3667
mp1-9_24.cnf, 1458, 280135, 3667
mp1-22.7.cnf, 4128, 126580, 3667
mp1-9_12.cnf, 1458, 280139, 3667
mp1-Nb7T07.cnf, 7196, 30576, 3667
mp1-klieber2017s-1600-023-eq.cnf, 9152, 27388, 3667
mp1-ps_5000_21250_3_0_0.6_0_1.45_0.cnf, 5000, 21250, 3667
mp1-ps_5000_21250_3_0_0.8_0_1.60_8.cnf, 5000, 21250, 3667
mp1-rubikcube512.cnf, 2754, 56262, 3667
g2-hwmcc15deep-oski15a14b04s-k16.cnf, 491922, 1274014, 3667
g2-ak128paralsimpbaig.cnf, 510105, 1528020, 3667
mp1-23.3.cnf, 4288, 132672, 3667
g2-T55.2.0.cnf, 1553474, 5386610, 3667
g2-ak128astepbg2asisc.cnf, 260359, 845072, 3667
g2-hwmcc15deep-intel032-k84.cnf, 426091, 882800, 3667
mp1-21.9.cnf, 3968, 119208, 3667
mp1-bsat180-648.cnf, 180, 648, 3667
mp1-squ_any_s09x07_c27_abio_UNS.cnf, 851, 2702, 3667
mp1-Nb6T30.cnf, 23262, 91872, 3667
g2-ak128boothbg2msaig.cnf, 572519, 1715262, 3667
mp1-23.2.cnf, 4288, 132672, 3667
mp1-ps_5000_21250_3_0_0.7_0_1.45_2.cnf, 5000, 21250, 3667
mp1-squ_any_s09x07_c27_sinx_UNS.cnf, 1035, 3197, 3667
mp1-tri_ali_s11_c35_abix_UNS.cnf, 932, 2994, 3667
mp1-ps_5000_21250_3_0_0.8_0_1.50_4.cnf, 5000, 21250, 3667
mp1-Nb5T06.cnf, 2139, 9000, 3667
mp1-21.4.cnf, 3968, 119208, 3667
mp1-9_44.cnf, 1458, 280140, 3667
mp1-9_11.cnf, 1458, 280143, 3667
