s: 1, r: 5, n: 220, mean: 4800.00, std: 7139.87, fails: 68
s: 2, r: 5, n: 220, mean: 3097.19, std: 5944.69, fails: 46
s: 3, r: 5, n: 220, mean: 3300.76, std: 5767.87, fails: 26
s: 4, r: 5, n: 220, mean: 2606.44, std: 5295.97, fails: 13
s: 5, r: 5, n: 220, mean: 1030.22, std: 2873.08, fails: 10
s: 6, r: 5, n: 220, mean: 1531.87, std: 3652.09, fails: 5
s: 7, r: 5, n: 220, mean: 763.43, std: 2417.95, fails: 2
s: 8, r: 5, n: 220, mean: 924.73, std: 2843.66, fails: 2
s: 9, r: 5, n: 220, mean: 279.16, std: 822.76, fails: 0
s: 10, r: 5, n: 220, mean: 518.00, std: 1502.46, fails: 0
s: 11, r: 5, n: 220, mean: 762.12, std: 2350.99, fails: 0
s: 12, r: 5, n: 220, mean: 446.64, std: 1350.55, fails: 0
s: 13, r: 5, n: 220, mean: 561.52, std: 1491.46, fails: 0
s: 14, r: 5, n: 220, mean: 260.56, std: 991.25, fails: 0
s: 15, r: 5, n: 220, mean: 584.44, std: 1470.22, fails: 0
s: 16, r: 5, n: 220, mean: 658.36, std: 1612.99, fails: 0
s: 17, r: 5, n: 220, mean: 572.24, std: 1701.48, fails: 0
s: 18, r: 5, n: 220, mean: 658.84, std: 1707.52, fails: 0
s: 19, r: 5, n: 220, mean: 360.96, std: 952.40, fails: 0
s: 20, r: 5, n: 220, mean: 611.44, std: 1382.71, fails: 0
s: 21, r: 5, n: 220, mean: 465.32, std: 1048.45, fails: 0
s: 22, r: 5, n: 220, mean: 606.88, std: 1222.20, fails: 0
s: 23, r: 5, n: 220, mean: 543.42, std: 1105.27, fails: 0
s: 24, r: 5, n: 220, mean: 485.04, std: 987.68, fails: 0
s: 25, r: 5, n: 220, mean: 615.48, std: 1268.72, fails: 0
