m_upper: 1024, m_lower 768
m_upper: 1024, m_lower 768, m: 896, i: 0, last_sol: 0
m_upper: 1024, m_lower 768, m: 896, i: 1, last_sol: 63183422470
m_upper: 1024, m_lower 768, m: 896, i: 2, last_sol: 1942958168886
m_upper: 1024, m_lower 768, m: 896, i: 3, last_sol: 15214474686
m_upper: 1024, m_lower 768, m: 896, i: 4, last_sol: 7085915533687
m_upper: 1024, m_lower 768, m: 896, i: 5, last_sol: 4122624
m_upper: 1024, m_lower 768, m: 896, i: 6, last_sol: 17408
m_upper: 1024, m_lower 768, m: 896, i: 7, last_sol: 732593471638
m_upper: 1024, m_lower 768, m: 896, i: 8, last_sol: 290368637240
m_upper: 1024, m_lower 768, m: 896, i: 9, last_sol: 53043491106
m_upper: 1024, m_lower 768, m: 896, i: 10, last_sol: 1656943244
m_upper: 1024, m_lower 768, m: 896, i: 11, last_sol: 2110815188
m_upper: 1024, m_lower 768, m: 896, i: 12, last_sol: 1610381375280
m_upper: 1024, m_lower 768, m: 896, i: 13, last_sol: 275821580
m_upper: 1024, m_lower 768, m: 896, i: 14, last_sol: 341040280
m_upper: 1024, m_lower 768, m: 896, i: 15, last_sol: 2572168230050
m_upper: 1024, m_lower 768, m: 896, i: 16, last_sol: 271392
m_upper: 1024, m_lower 768, m: 896, i: 17, last_sol: 225990728
m_upper: 1024, m_lower 768, m: 896, i: 18, last_sol: 4718569072
m_upper: 1024, m_lower 768, m: 896, i: 19, last_sol: 8467006584
m_upper: 1024, m_lower 768, m: 896, i: 20, last_sol: 10330161088
m_upper: 1024, m_lower 768, m: 896, i: 21, last_sol: 384058208
m_upper: 1024, m_lower 768, m: 896, i: 22, last_sol: 109740056
m_upper: 1024, m_lower 768, m: 896, i: 23, last_sol: 1033338592
m_upper: 1024, m_lower 768, m: 896, i: 24, last_sol: 47495645776
m_upper: 1024, m_lower 768, m: 896, i: 25, last_sol: 14866852482504
m_upper: 1024, m_lower 768, m: 896, i: 26, last_sol: 906624
m_upper: 1024, m_lower 768, m: 896, i: 27, last_sol: 129903238460
m_upper: 1024, m_lower 768, m: 896, i: 28, last_sol: 4337648
m_upper: 1024, m_lower 768, m: 896, i: 29, last_sol: 6113280
m_upper: 1024, m_lower 768, m: 896, i: 30, last_sol: 147285352
m_upper: 1024, m_lower 768, m: 896, i: 31, last_sol: 114529825038
m_upper: 1024, m_lower 768, m: 896, i: 32, last_sol: 38
m_upper: 1024, m_lower 768, m: 896, i: 33, last_sol: 64589721806
m_upper: 1024, m_lower 768, m: 896, i: 34, last_sol: 14885279022
m_upper: 1024, m_lower 768, m: 896, i: 35, last_sol: 47351165072
m_upper: 1024, m_lower 768, m: 896, i: 36, last_sol: 14372783026418
m_upper: 1024, m_lower 768, m: 896, i: 37, last_sol: 2034564240
m_upper: 1024, m_lower 768, m: 896, i: 38, last_sol: 751814358
m_upper: 1024, m_lower 768, m: 896, i: 39, last_sol: 2669084610
