,filename,#solutions,time,#C,#L,CW,#job
79,cnf-gen-L217-W3-C25-J1.cnf,8136946754218708962370153844066086644119877818832254317835059200,0.002819,25,217,3,1
45,cnf-gen-L216-W3-C25-J2.cnf,3744570024882079463015100931868307113259361337097257484288000000,0.002829,25,216,3,2
71,cnf-gen-L218-W3-C25-J3.cnf,15881123932138522876013101926354226636322595181432091443200000000,0.002784,25,218,3,3
8,cnf-gen-L210-W3-C25-J4.cnf,56767563652284215485294833236832561302146432473840687356313600,0.002154,25,210,3,4
59,cnf-gen-L217-W3-C25-J5.cnf,7554949382010975408275445034399544220737782434074421055664947200,0.002161,25,217,3,5
46,cnf-gen-L210-W3-C25-J6.cnf,64835762614603217388824834773327428160818244877505527808000000,0.003834,25,210,3,6
21,cnf-gen-L219-W3-C25-J7.cnf,29837684960171490324342550282506193188193641130521004081152000000,0.002862,25,219,3,7
23,cnf-gen-L220-W3-C25-J8.cnf,53087698825004998870519532388556231422716686744147658134391881728,0.002811,25,220,3,8
104,cnf-gen-L219-W3-C25-J9.cnf,30730295353912269952021527738925645393020367873631984620771737600,0.00285,25,219,3,9
26,cnf-gen-L219-W3-C25-J10.cnf,29455287091725754666671852610200352860513237525785307005740646400,0.002796,25,219,3,10
75,cnf-gen-L211-W3-C50-J11.cnf,4229181714730746406575864453517468198811049771817978822656000,0.003518,50,211,3,11
61,cnf-gen-L220-W3-C50-J12.cnf,1736087136971357363283813301147338193791094786655644566568304640,0.002448,50,220,3,12
111,cnf-gen-L220-W3-C50-J13.cnf,2082693479226058990796907185357268451661008621855739907932160000,0.002354,50,220,3,13
9,cnf-gen-L219-W3-C50-J14.cnf,1241648943384896571968124354254140027986863617735422811255603200,0.003589,50,219,3,14
101,cnf-gen-L220-W3-C50-J15.cnf,2561613375212419056201554238037182483521230777282024255996821504,0.003126,50,220,3,15
93,cnf-gen-L220-W3-C50-J16.cnf,1856069590836148352086465662561918029277099195309812489807462400,0.003121,50,220,3,16
14,cnf-gen-L220-W3-C50-J17.cnf,1897146625633606965700217980662658877788298977415910314213376000,0.00312,50,220,3,17
88,cnf-gen-L217-W3-C50-J18.cnf,251240943030081133280530083149787907296637293505433768256602112,0.003243,50,217,3,18
95,cnf-gen-L219-W3-C50-J19.cnf,1150867270643910173762708839407630296447709909062305944642256896,0.003063,50,219,3,19
92,cnf-gen-L215-W3-C50-J20.cnf,62691032417154793995996668765997255315408911348743472047718400,0.003264,50,215,3,20
130,cnf-gen-L220-W3-C100-J21.cnf,3652975787525649781763116483201764978548860172543926305030144,0.209094,100,220,3,21
38,cnf-gen-L220-W3-C100-J22.cnf,2110717336982655592862466279878295661149476315144894508171264,0.17698,100,220,3,22
60,cnf-gen-L220-W3-C100-J23.cnf,2954036717843122803478567646506005182874749746969741501661184,2.20193,100,220,3,23
84,cnf-gen-L220-W3-C100-J24.cnf,4144041302377471758720484315821963970699338238103882047684608,1.64906,100,220,3,24
90,cnf-gen-L220-W3-C100-J25.cnf,2789901932467848485056013531337466159675413632859167854166016,2.8891,100,220,3,25
110,cnf-gen-L220-W3-C100-J26.cnf,2182043605561995567480414032816816285377974099375615595511808,0.411395,100,220,3,26
114,cnf-gen-L218-W3-C100-J27.cnf,466000849947602472599222531680559385724851214551531701403648,0.79208,100,218,3,27
98,cnf-gen-L220-W3-C100-J28.cnf,2370028499924138607853246105535880104166224989640808883814400,0.116359,100,220,3,28
32,cnf-gen-L220-W3-C100-J29.cnf,2912920985001409144961465479925295430606833282222663120453632,4.31062,100,220,3,29
113,cnf-gen-L220-W3-C100-J30.cnf,1358477941049239039684404946953378552616562556533121377894400,2.22442,100,220,3,30
18,cnf-gen-L220-W3-C1600-J61.cnf,0,0.013731,1600,220,3,61
31,cnf-gen-L220-W3-C1600-J62.cnf,0,0.010159,1600,220,3,62
40,cnf-gen-L220-W3-C1600-J63.cnf,0,0.01207,1600,220,3,63
28,cnf-gen-L220-W3-C1600-J64.cnf,0,0.012368,1600,220,3,64
126,cnf-gen-L220-W3-C1600-J65.cnf,0,0.010985,1600,220,3,65
94,cnf-gen-L220-W3-C1600-J66.cnf,0,0.016124,1600,220,3,66
22,cnf-gen-L220-W3-C1600-J67.cnf,0,0.016397,1600,220,3,67
1,cnf-gen-L220-W3-C1600-J68.cnf,0,0.01683,1600,220,3,68
25,cnf-gen-L220-W3-C1600-J69.cnf,0,0.011312,1600,220,3,69
129,cnf-gen-L220-W3-C1600-J70.cnf,0,0.012223,1600,220,3,70
36,cnf-gen-L220-W3-C3200-J71.cnf,0,0.005221,3200,220,3,71
107,cnf-gen-L220-W3-C3200-J72.cnf,0,0.007107,3200,220,3,72
119,cnf-gen-L220-W3-C3200-J73.cnf,0,0.005455,3200,220,3,73
10,cnf-gen-L220-W3-C3200-J74.cnf,0,0.007088,3200,220,3,74
67,cnf-gen-L220-W3-C3200-J75.cnf,0,0.007291,3200,220,3,75
118,cnf-gen-L220-W3-C3200-J76.cnf,0,0.007213,3200,220,3,76
65,cnf-gen-L220-W3-C3200-J77.cnf,0,0.007263,3200,220,3,77
82,cnf-gen-L220-W3-C3200-J78.cnf,0,0.005091,3200,220,3,78
123,cnf-gen-L220-W3-C3200-J79.cnf,0,0.004915,3200,220,3,79
51,cnf-gen-L220-W3-C3200-J80.cnf,0,0.005582,3200,220,3,80
86,cnf-gen-L220-W3-C6400-J81.cnf,0,0.007106,6400,220,3,81
13,cnf-gen-L220-W3-C6400-J82.cnf,0,0.006738,6400,220,3,82
42,cnf-gen-L220-W3-C6400-J83.cnf,0,0.009827,6400,220,3,83
89,cnf-gen-L220-W3-C6400-J84.cnf,0,0.009916,6400,220,3,84
44,cnf-gen-L220-W3-C6400-J85.cnf,0,0.009968,6400,220,3,85
122,cnf-gen-L220-W3-C6400-J86.cnf,0,0.010029,6400,220,3,86
15,cnf-gen-L220-W3-C6400-J87.cnf,0,0.009947,6400,220,3,87
41,cnf-gen-L220-W3-C6400-J88.cnf,0,0.010079,6400,220,3,88
24,cnf-gen-L220-W3-C6400-J89.cnf,0,0.009949,6400,220,3,89
125,cnf-gen-L220-W3-C6400-J90.cnf,0,0.009877,6400,220,3,90
128,cnf-gen-L220-W3-C12800-J91.cnf,0,0.015675,12800,220,3,91
109,cnf-gen-L220-W3-C12800-J92.cnf,0,0.015914,12800,220,3,92
12,cnf-gen-L220-W3-C12800-J93.cnf,0,0.015931,12800,220,3,93
16,cnf-gen-L220-W3-C12800-J94.cnf,0,0.014829,12800,220,3,94
124,cnf-gen-L220-W3-C12800-J95.cnf,0,0.015735,12800,220,3,95
115,cnf-gen-L220-W3-C12800-J96.cnf,0,0.015523,12800,220,3,96
81,cnf-gen-L220-W3-C12800-J97.cnf,0,0.015616,12800,220,3,97
96,cnf-gen-L220-W3-C12800-J98.cnf,0,0.015309,12800,220,3,98
108,cnf-gen-L220-W3-C12800-J99.cnf,0,0.010663,12800,220,3,99
29,cnf-gen-L220-W3-C12800-J100.cnf,0,0.015683,12800,220,3,100
72,cnf-gen-L220-W3-C25600-J101.cnf,0,0.026631,25600,220,3,101
17,cnf-gen-L220-W3-C25600-J102.cnf,0,0.027239,25600,220,3,102
37,cnf-gen-L220-W3-C25600-J103.cnf,0,0.026899,25600,220,3,103
87,cnf-gen-L220-W3-C25600-J104.cnf,0,0.018046,25600,220,3,104
73,cnf-gen-L220-W3-C25600-J105.cnf,0,0.025119,25600,220,3,105
55,cnf-gen-L220-W3-C25600-J106.cnf,0,0.027177,25600,220,3,106
105,cnf-gen-L220-W3-C25600-J107.cnf,0,0.026795,25600,220,3,107
112,cnf-gen-L220-W3-C25600-J108.cnf,0,0.018105,25600,220,3,108
106,cnf-gen-L220-W3-C25600-J109.cnf,0,0.01793,25600,220,3,109
11,cnf-gen-L220-W3-C25600-J110.cnf,0,0.027376,25600,220,3,110
74,cnf-gen-L220-W3-C51200-J111.cnf,0,0.049354,51200,220,3,111
47,cnf-gen-L220-W3-C51200-J112.cnf,0,0.049227,51200,220,3,112
43,cnf-gen-L220-W3-C51200-J113.cnf,0,0.033036,51200,220,3,113
103,cnf-gen-L220-W3-C51200-J114.cnf,0,0.033942,51200,220,3,114
58,cnf-gen-L220-W3-C51200-J115.cnf,0,0.032869,51200,220,3,115
57,cnf-gen-L220-W3-C51200-J116.cnf,0,0.050294,51200,220,3,116
56,cnf-gen-L220-W3-C51200-J117.cnf,0,0.050942,51200,220,3,117
85,cnf-gen-L220-W3-C51200-J118.cnf,0,0.045552,51200,220,3,118
52,cnf-gen-L220-W3-C51200-J119.cnf,0,0.046668,51200,220,3,119
35,cnf-gen-L220-W3-C51200-J120.cnf,0,0.050101,51200,220,3,120
77,cnf-gen-L220-W3-C102400-J121.cnf,0,0.095755,102400,220,3,121
63,cnf-gen-L220-W3-C102400-J122.cnf,0,0.097392,102400,220,3,122
99,cnf-gen-L220-W3-C102400-J123.cnf,0,0.086839,102400,220,3,123
68,cnf-gen-L220-W3-C102400-J124.cnf,0,0.104789,102400,220,3,124
102,cnf-gen-L220-W3-C102400-J125.cnf,0,0.098104,102400,220,3,125
80,cnf-gen-L220-W3-C102400-J126.cnf,0,0.09517,102400,220,3,126
20,cnf-gen-L220-W3-C102400-J127.cnf,0,0.063306,102400,220,3,127
66,cnf-gen-L220-W3-C102400-J128.cnf,0,0.093612,102400,220,3,128
5,cnf-gen-L220-W3-C102400-J129.cnf,0,0.068647,102400,220,3,129
120,cnf-gen-L220-W3-C102400-J130.cnf,0,0.063409,102400,220,3,130
2,cnf-gen-L220-W3-C204800-J131.cnf,0,0.128455,204800,220,3,131
97,cnf-gen-L220-W3-C204800-J132.cnf,0,0.189399,204800,220,3,132
3,cnf-gen-L220-W3-C204800-J133.cnf,0,0.192991,204800,220,3,133
19,cnf-gen-L220-W3-C204800-J134.cnf,0,0.129004,204800,220,3,134
83,cnf-gen-L220-W3-C204800-J135.cnf,0,0.189419,204800,220,3,135
34,cnf-gen-L220-W3-C204800-J136.cnf,0,0.115112,204800,220,3,136
78,cnf-gen-L220-W3-C204800-J137.cnf,0,0.127176,204800,220,3,137
62,cnf-gen-L220-W3-C204800-J138.cnf,0,0.195292,204800,220,3,138
54,cnf-gen-L220-W3-C204800-J139.cnf,0,0.131823,204800,220,3,139
117,cnf-gen-L220-W3-C204800-J140.cnf,0,0.189488,204800,220,3,140
48,cnf-gen-L220-W3-C409600-J141.cnf,0,0.244035,409600,220,3,141
91,cnf-gen-L220-W3-C409600-J142.cnf,0,0.38983,409600,220,3,142
39,cnf-gen-L220-W3-C409600-J143.cnf,0,0.395226,409600,220,3,143
30,cnf-gen-L220-W3-C409600-J144.cnf,0,0.269327,409600,220,3,144
7,cnf-gen-L220-W3-C409600-J145.cnf,0,0.363388,409600,220,3,145
50,cnf-gen-L220-W3-C409600-J146.cnf,0,0.357806,409600,220,3,146
76,cnf-gen-L220-W3-C409600-J147.cnf,0,0.392004,409600,220,3,147
0,cnf-gen-L220-W3-C409600-J148.cnf,0,0.385742,409600,220,3,148
33,cnf-gen-L220-W3-C409600-J149.cnf,0,0.371261,409600,220,3,149
100,cnf-gen-L220-W3-C409600-J150.cnf,0,0.401854,409600,220,3,150
49,cnf-gen-L220-W3-C819200-J151.cnf,0,0.832873,819200,220,3,151
27,cnf-gen-L220-W3-C819200-J152.cnf,0,0.833732,819200,220,3,152
70,cnf-gen-L220-W3-C819200-J153.cnf,0,0.824139,819200,220,3,153
69,cnf-gen-L220-W3-C819200-J154.cnf,0,0.810161,819200,220,3,154
116,cnf-gen-L220-W3-C819200-J155.cnf,0,0.845484,819200,220,3,155
121,cnf-gen-L220-W3-C819200-J156.cnf,0,0.718188,819200,220,3,156
53,cnf-gen-L220-W3-C819200-J157.cnf,0,0.832691,819200,220,3,157
64,cnf-gen-L220-W3-C819200-J158.cnf,0,0.832853,819200,220,3,158
6,cnf-gen-L220-W3-C819200-J159.cnf,0,0.718984,819200,220,3,159
4,cnf-gen-L220-W3-C819200-J160.cnf,0,0.834996,819200,220,3,160
127,cnf-gen-L220-W3-C30000-J300.cnf,0,0.029688,30000,220,3,300
