,s,n,approx,sol,file,datetime,experiment,seed
0,9,10,396,324,cnf-gen-L10-W3-C10-J1.cnf,01/07/2020 13:41:31,approximation_experiment.py,10
1,9,10,240,244,cnf-gen-L10-W3-C10.cnf,01/07/2020 13:41:31,approximation_experiment.py,10
2,9,2,1264,768,cnf-gen-L10-W3-C100-J1.cnf,01/07/2020 13:41:31,approximation_experiment.py,10
3,9,20,74,56,cnf-gen-L10-W3-C20.cnf,01/07/2020 13:41:31,approximation_experiment.py,10
4,9,30,20,23,cnf-gen-L10-W3-C30.cnf,01/07/2020 13:41:31,approximation_experiment.py,10
5,9,20,1134,873,cnf-gen-L14-W3-C20.cnf,01/07/2020 13:41:32,approximation_experiment.py,10
6,9,10,16512,8224,cnf-gen-L15-W3-C10.cnf,01/07/2020 13:41:32,approximation_experiment.py,10
7,9,20,3544,2744,cnf-gen-L15-W3-C20.cnf,01/07/2020 13:41:32,approximation_experiment.py,10
8,9,30,400,352,cnf-gen-L15-W3-C30.cnf,01/07/2020 13:41:32,approximation_experiment.py,10
9,9,10,1088512,260096,cnf-gen-L20-W3-C10.cnf,01/07/2020 13:41:33,approximation_experiment.py,10
10,9,20,223488,92052,cnf-gen-L20-W3-C20.cnf,01/07/2020 13:41:33,approximation_experiment.py,10
11,9,30,18680,14978,cnf-gen-L20-W3-C30.cnf,01/07/2020 13:41:34,approximation_experiment.py,10
12,9,10,19357696,4648960,cnf-gen-L24-W3-C10.cnf,01/07/2020 13:41:35,approximation_experiment.py,10
13,9,30,380416,155620,cnf-gen-L24-W3-C30.cnf,01/07/2020 13:41:36,approximation_experiment.py,10
14,9,10,50954240,8747008,cnf-gen-L25-W3-C10.cnf,01/07/2020 13:41:38,approximation_experiment.py,10
15,9,20,13924352,2862176,cnf-gen-L25-W3-C20-S2862176.cnf,01/07/2020 13:41:39,approximation_experiment.py,10
16,9,30,1695744,627560,cnf-gen-L25-W3-C30.cnf,01/07/2020 13:41:41,approximation_experiment.py,10
17,9,10,172,134,cnf-gen-L9-W3-C10-J1.cnf,01/07/2020 13:41:41,approximation_experiment.py,10
