,s,r,n,sol,file,datetime,experiment,seed
0,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:46,hashing_experiment.py,10
1,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:46,hashing_experiment.py,10
2,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:46,hashing_experiment.py,10
3,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:46,hashing_experiment.py,10
4,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:46,hashing_experiment.py,10
5,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:46,hashing_experiment.py,10
6,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:47,hashing_experiment.py,10
7,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:47,hashing_experiment.py,10
8,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:47,hashing_experiment.py,10
9,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:48,hashing_experiment.py,10
10,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:48,hashing_experiment.py,10
11,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:49,hashing_experiment.py,10
12,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:49,hashing_experiment.py,10
13,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:49,hashing_experiment.py,10
14,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:49,hashing_experiment.py,10
15,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:49,hashing_experiment.py,10
16,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:49,hashing_experiment.py,10
17,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:49,hashing_experiment.py,10
18,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:50,hashing_experiment.py,10
19,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:50,hashing_experiment.py,10
20,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:50,hashing_experiment.py,10
21,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:51,hashing_experiment.py,10
22,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:51,hashing_experiment.py,10
23,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:51,hashing_experiment.py,10
