cnf,solver,problem_type,time,size,benchmark
cnf-emb-h-cycle5-g-pg2-2.cnf,ganak,--emb,0.03355998389888555,36,pg2-3
cnf-emb-h-cycle5-g-pg2-2.cnf,homSub,--emb,0.0945822837005835,36,pg2-3
cnf-emb-h-cycle5-g-pg2-2.cnf,sharp,--emb,0.01232617890345864,36,pg2-3
cnf-emb-h-cycle5-g-pg2-3.cnf,ganak,--emb,0.04463468719623052,36,pg2-3
cnf-emb-h-cycle5-g-pg2-3.cnf,homSub,--emb,0.10738891789806075,36,pg2-3
cnf-emb-h-cycle5-g-pg2-3.cnf,sharp,--emb,0.025617445007083007,36,pg2-3
cnf-emb-h-cycle5-g-pg2-4.cnf,ganak,--emb,0.09639512619469315,36,pg2-3
cnf-emb-h-cycle5-g-pg2-4.cnf,homSub,--emb,0.08407287620357237,36,pg2-3
cnf-emb-h-cycle5-g-pg2-4.cnf,sharp,--emb,0.07478336860367563,36,pg2-3
cnf-emb-h-cycle5-g-pg2-5.cnf,ganak,--emb,0.6089950010034955,36,pg2-3
cnf-emb-h-cycle5-g-pg2-5.cnf,homSub,--emb,0.08687307180080098,36,pg2-3
cnf-emb-h-cycle5-g-pg2-5.cnf,sharp,--emb,0.23705248550104444,36,pg2-3
cnf-emb-h-cycle5-g-pg2-7.cnf,ganak,--emb,2.4380612191947875,36,pg2-3
cnf-emb-h-cycle5-g-pg2-7.cnf,homSub,--emb,0.11271562350157183,36,pg2-3
cnf-emb-h-cycle5-g-pg2-7.cnf,sharp,--emb,3.39042673559743,36,pg2-3
cnf-emb-h-cycle5-g-pg2-8.cnf,ganak,--emb,5.995940230594715,36,pg2-3
cnf-emb-h-cycle5-g-pg2-8.cnf,homSub,--emb,0.12659336589858866,36,pg2-3
cnf-emb-h-cycle5-g-pg2-8.cnf,sharp,--emb,16.501040451703012,36,pg2-3
cnf-emb-h-cycle7-g-pg2-2.cnf,ganak,--emb,0.0397163736022776,36,pg2-3
cnf-emb-h-cycle7-g-pg2-2.cnf,homSub,--emb,0.1092351430997951,36,pg2-3
cnf-emb-h-cycle7-g-pg2-2.cnf,sharp,--emb,0.01806718800216913,36,pg2-3
cnf-emb-h-cycle7-g-pg2-3.cnf,ganak,--emb,0.12140580819686875,36,pg2-3
cnf-emb-h-cycle7-g-pg2-3.cnf,homSub,--emb,0.11336647749412805,36,pg2-3
cnf-emb-h-cycle7-g-pg2-3.cnf,sharp,--emb,0.11230176289682277,36,pg2-3
cnf-emb-h-cycle7-g-pg2-4.cnf,ganak,--emb,0.4510262426978443,36,pg2-3
cnf-emb-h-cycle7-g-pg2-4.cnf,homSub,--emb,0.10891551939712371,36,pg2-3
cnf-emb-h-cycle7-g-pg2-4.cnf,sharp,--emb,0.38035283690551297,36,pg2-3
cnf-emb-h-cycle7-g-pg2-5.cnf,ganak,--emb,2.349041755599319,36,pg2-3
cnf-emb-h-cycle7-g-pg2-5.cnf,homSub,--emb,0.1279708133020904,36,pg2-3
cnf-emb-h-cycle7-g-pg2-5.cnf,sharp,--emb,1.8903027036983986,36,pg2-3
cnf-emb-h-cycle7-g-pg2-7.cnf,ganak,--emb,14.110525475401664,36,pg2-3
cnf-emb-h-cycle7-g-pg2-7.cnf,homSub,--emb,0.20994315840071068,36,pg2-3
cnf-emb-h-cycle7-g-pg2-7.cnf,sharp,--emb,19.127814039203805,36,pg2-3
cnf-emb-h-cycle7-g-pg2-8.cnf,ganak,--emb,90.0,36,pg2-3
cnf-emb-h-cycle7-g-pg2-8.cnf,homSub,--emb,0.2927297420013929,36,pg2-3
cnf-emb-h-cycle7-g-pg2-8.cnf,sharp,--emb,29.878976505203173,36,pg2-3
cnf-emb-h-example-g-pg2-2.cnf,ganak,--emb,0.034618122302345,36,pg2-3
cnf-emb-h-example-g-pg2-2.cnf,homSub,--emb,0.09396211749408394,36,pg2-3
cnf-emb-h-example-g-pg2-2.cnf,sharp,--emb,0.011963028900208884,36,pg2-3
cnf-emb-h-example-g-pg2-3.cnf,ganak,--emb,0.034017931000562385,36,pg2-3
cnf-emb-h-example-g-pg2-3.cnf,homSub,--emb,0.0895769123948412,36,pg2-3
cnf-emb-h-example-g-pg2-3.cnf,sharp,--emb,0.014642656606156379,36,pg2-3
cnf-emb-h-example-g-pg2-4.cnf,ganak,--emb,0.04416714219551068,36,pg2-3
