solver,problem_type,time,size,benchmark
ganak,--emb,292.014324125179,30,sts-13
ganak,--hom,13.254835797662963,30,sts-13
homSub,--emb,2.9411153606139115,30,sts-13
homSub,--hom,2.3017616231867577,30,sts-13
sharp,--emb,288.6910969255929,30,sts-13
sharp,--hom,14.782681026990756,30,sts-13
ganak,--emb,144.34266998870012,36,ag2-7
ganak,--hom,40.039257845611395,36,ag2-7
homSub,--emb,7.468466582907422,36,ag2-7
homSub,--hom,2.9953378931852064,36,ag2-7
sharp,--emb,52.91692787059727,36,ag2-7
sharp,--hom,43.33058823479805,36,ag2-7
ganak,--emb,746.9340242164533,66,cmz-11
ganak,--hom,842.3578588272813,66,cmz-11
homSub,--emb,838.3055033601851,66,cmz-11
homSub,--hom,17.68878898771654,66,cmz-11
sharp,--emb,805.230067687004,66,cmz-11
sharp,--hom,910.2144173532811,66,cmz-11
ganak,--emb,1046.982307613344,66,cfi-22
ganak,--hom,1120.426597726217,66,cfi-22
homSub,--emb,1025.7412592188746,66,cfi-22
homSub,--hom,26.182209715602223,66,cfi-22
sharp,--emb,1004.7878616047733,66,cfi-22
sharp,--hom,1051.1843244003883,66,cfi-22
ganak,--emb,991.1052375371945,228,k-38
ganak,--hom,47.232900096281114,228,k-38
homSub,--emb,21.387746618181712,228,k-38
homSub,--hom,17.45897295534669,228,k-38
sharp,--emb,991.3834131209418,228,k-38
sharp,--hom,36.96511728852926,228,k-38
ganak,--emb,532.4981702792517,60,paley-25
ganak,--hom,24.422834549474654,60,paley-25
homSub,--emb,5.882935664587423,60,paley-25
homSub,--hom,4.621606599914957,60,paley-25
sharp,--emb,462.2903012011054,60,paley-25
sharp,--hom,40.28180128329257,60,paley-25
ganak,--emb,488.3611943624155,54,triang-12
ganak,--hom,19.914286736870423,54,triang-12
homSub,--emb,5.415972223243445,54,triang-12
homSub,--hom,4.20835294399294,54,triang-12
sharp,--emb,488.1619975465117,54,triang-12
sharp,--hom,17.901343442808137,54,triang-12
