solver,problem_type,time,size,benchmark
ganak,--emb,121.78422237196932,36,pg2-3
ganak,--hom,37.599626591708514,36,pg2-3
homSub,--emb,8.620200729972566,36,pg2-3
homSub,--hom,3.0247908092947906,36,pg2-3
sharp,--emb,75.52731847700198,36,pg2-3
sharp,--hom,53.54528470606893,36,pg2-3
ganak,--emb,292.014324125179,30,sts-13
ganak,--hom,13.254835797662963,30,sts-13
homSub,--emb,2.9411153606139115,30,sts-13
homSub,--hom,2.3017616231867577,30,sts-13
sharp,--emb,288.6910969255929,30,sts-13
sharp,--hom,14.782681026990756,30,sts-13
ganak,--emb,144.34266998870012,36,ag2-7
ganak,--hom,40.039257845611395,36,ag2-7
homSub,--emb,7.468466582907422,36,ag2-7
homSub,--hom,2.9953378931852064,36,ag2-7
sharp,--emb,52.91692787059727,36,ag2-7
sharp,--hom,43.33058823479805,36,ag2-7
ganak,--emb,142.564295358723,36,ag2-7
ganak,--hom,38.665822262113224,36,ag2-7
homSub,--emb,7.245625267841387,36,ag2-7
homSub,--hom,3.0206594377756115,36,ag2-7
sharp,--emb,50.85193351663766,36,ag2-7
sharp,--hom,42.196166459558306,36,ag2-7
ganak,--emb,746.9340242164533,66,cmz-11
ganak,--hom,842.3578588272813,66,cmz-11
homSub,--emb,838.3055033601851,66,cmz-11
homSub,--hom,17.68878898771654,66,cmz-11
sharp,--emb,805.230067687004,66,cmz-11
sharp,--hom,910.2144173532811,66,cmz-11
ganak,--emb,219.90783742530624,42,grid-w-3-5
ganak,--hom,213.27019781158592,42,grid-w-3-5
homSub,--emb,14.347857203075545,42,grid-w-3-5
homSub,--hom,4.165047951697488,42,grid-w-3-5
sharp,--emb,210.87298651441816,42,grid-w-3-5
sharp,--hom,203.22988178649098,42,grid-w-3-5
ganak,--emb,1051.6628785816301,66,cfi-22
ganak,--hom,1127.5301438537228,66,cfi-22
homSub,--emb,72.50504288293158,66,cfi-22
homSub,--hom,26.558678762213095,66,cfi-22
sharp,--emb,1008.9608257724876,66,cfi-22
sharp,--hom,1057.305497620408,66,cfi-22
ganak,--emb,1046.982307613344,66,cfi-22
ganak,--hom,1120.426597726217,66,cfi-22
homSub,--emb,1025.7412592188746,66,cfi-22
homSub,--hom,26.182209715602223,66,cfi-22
sharp,--emb,1004.7878616047733,66,cfi-22
sharp,--hom,1051.1843244003883,66,cfi-22
ganak,--emb,391.76492099940083,36,lattice-8
ganak,--hom,24.93421925567381,36,lattice-8
homSub,--emb,4.043967784699635,36,lattice-8
homSub,--hom,2.8552166750014294,36,lattice-8
sharp,--emb,394.38880662809834,36,lattice-8
sharp,--hom,18.462308508617575,36,lattice-8
ganak,--emb,213.6499411765049,36,had-1
ganak,--hom,195.2067211549759,36,had-1
homSub,--emb,3.6904890494799485,36,had-1
homSub,--hom,2.765861267794389,36,had-1
sharp,--emb,214.6465149476105,36,had-1
sharp,--hom,191.3238742456131,36,had-1
ganak,--emb,271.4907482209034,48,grid-3-6
ganak,--hom,307.5559519956238,48,grid-3-6
homSub,--emb,22.37460258518695,48,grid-3-6
homSub,--hom,5.2266130983189205,48,grid-3-6
sharp,--emb,303.6607892168337,48,grid-3-6
sharp,--hom,252.65747431272177,48,grid-3-6
ganak,--emb,304.5503430264855,42,latin-5
ganak,--hom,17.672185138918575,42,latin-5
homSub,--emb,4.2066920753131845,42,latin-5
homSub,--hom,3.235269636777229,42,latin-5
sharp,--emb,307.9784228601608,42,latin-5
sharp,--hom,15.836854451923863,42,latin-5
ganak,--emb,745.4607566417891,66,cmz-11
ganak,--hom,840.7505129409489,66,cmz-11
homSub,--emb,838.1710449374515,66,cmz-11
homSub,--hom,17.755555711680792,66,cmz-11
sharp,--emb,803.4235701682046,66,cmz-11
sharp,--hom,908.0761107487896,66,cmz-11
ganak,--emb,266.91870166661084,48,grid-3-6
ganak,--hom,307.6856556846673,48,grid-3-6
homSub,--emb,22.329662844413544,48,grid-3-6
homSub,--hom,5.183149916960973,48,grid-3-6
sharp,--emb,303.8254550768761,48,grid-3-6
sharp,--hom,252.7779412160366,48,grid-3-6
ganak,--emb,991.1052375371945,228,k-38
ganak,--hom,47.232900096281114,228,k-38
homSub,--emb,21.387746618181712,228,k-38
homSub,--hom,17.45897295534669,228,k-38
sharp,--emb,991.3834131209418,228,k-38
sharp,--hom,36.96511728852926,228,k-38
ganak,--emb,1169.6370389077256,66,sts-sw-19-8
ganak,--hom,104.88715093826465,66,sts-sw-19-8
homSub,--emb,7.3203086178167736,66,sts-sw-19-8
homSub,--hom,5.152627282208415,66,sts-sw-19-8
sharp,--emb,1147.166427118084,66,sts-sw-19-8
sharp,--hom,100.4909320671083,66,sts-sw-19-8
ganak,--emb,532.4981702792517,60,paley-25
ganak,--hom,24.422834549474654,60,paley-25
homSub,--emb,5.882935664587423,60,paley-25
homSub,--hom,4.621606599914957,60,paley-25
sharp,--emb,462.2903012011054,60,paley-25
sharp,--hom,40.28180128329257,60,paley-25
ganak,--emb,488.3611943624155,54,triang-12
ganak,--hom,19.914286736870423,54,triang-12
homSub,--emb,5.415972223243445,54,triang-12
homSub,--hom,4.20835294399294,54,triang-12
sharp,--emb,488.1619975465117,54,triang-12
sharp,--hom,17.901343442808137,54,triang-12
