h,solver,problem_type,time
cycle5.gr,ganak,--emb,265.75801193999206
cycle5.gr,ganak,--hom,243.63734709336129
cycle5.gr,homSub,--emb,15.3071353407533
cycle5.gr,homSub,--hom,12.621983842449845
cycle5.gr,sharp,--emb,215.3201033877296
cycle5.gr,sharp,--hom,236.08309543842336
cycle7.gr,ganak,--emb,3800.5599177903805
cycle7.gr,ganak,--hom,1757.4241169197828
cycle7.gr,homSub,--emb,33.68591658631776
cycle7.gr,homSub,--hom,14.250917991949247
cycle7.gr,sharp,--emb,3714.1036164586317
cycle7.gr,sharp,--hom,1780.8066736326675
example.gr,ganak,--emb,65.02486682009767
example.gr,ganak,--hom,32.124418116138266
example.gr,homSub,--emb,17.131562542309986
example.gr,homSub,--hom,12.543498582037863
example.gr,sharp,--emb,58.177747641092004
example.gr,sharp,--hom,29.658328105731915
k3.gr,ganak,--emb,13.838126571696192
k3.gr,ganak,--hom,13.368551526694494
k3.gr,homSub,--emb,12.69766305669763
k3.gr,homSub,--hom,11.797638012756941
k3.gr,sharp,--emb,12.388578883241287
k3.gr,sharp,--hom,12.303341867536073
square.gr,ganak,--emb,39.922842745718675
square.gr,ganak,--hom,27.075576334673677
square.gr,homSub,--emb,12.853456866742633
square.gr,homSub,--hom,11.697307266364806
square.gr,sharp,--emb,38.55761425128152
square.gr,sharp,--hom,22.94930341146391
trianglehouse.gr,ganak,--emb,57.134162254651876
trianglehouse.gr,ganak,--hom,34.018561588747275
trianglehouse.gr,homSub,--emb,1815.4672646357722
trianglehouse.gr,homSub,--hom,12.545685023386612
trianglehouse.gr,sharp,--emb,54.91400533455017
trianglehouse.gr,sharp,--hom,32.85953057426669
